Ingredient|Type|Category
Baby Duck(R) white wine|spirit|wine
Babycham(R) Champagne|spirit|wine
Blue Heron(R) wine|spirit|wine
Broadbent Malmsey 10y|spirit|wine
Burgundy wine|spirit|wine
byrrh wine|spirit|wine
Cabernet|spirit|wine
Cabernet Sauvignon red wine|spirit|wine
Chablis(R) white wine|spirit|wine
Chandon Brut|spirit|wine
Chardonnay|spirit|wine
Chardonnay white wine|spirit|wine
Chinese wine|spirit|wine
claret|spirit|wine
Danish cherry wine|spirit|wine
Dow's 20 Year Tawny|spirit|wine
dry red wine|spirit|wine
dry sparkling wine|spirit|wine
dry white wine|spirit|wine
Dubonnet Blanc|spirit|wine
Dubonnet Rouge|spirit|wine
Dubonnet Rougue|spirit|wine
Falerno del Massico(R) white wine|spirit|wine
Fonseca Vintage 2007|spirit|wine
ginger wine|spirit|wine
green ginger wine|spirit|wine
Harvey's Bristol Creme|spirit|wine
Harveys(R) Bristol Cream sherry|spirit|wine
House Wine|spirit|wine
Icewine|spirit|wine
Kina(R) Lillet Blanc wine|spirit|wine
Lambrusco(R) red wine|spirit|wine
LBV port|spirit|wine
Lillet|spirit|wine
Lillet(R) Blanc wine|spirit|wine
lychee wine|spirit|wine
Mad Dog(R) grape wine|spirit|wine
Madeira|spirit|wine
Malbec|spirit|wine
Manischewitz(R) red wine|spirit|wine
marsala white wine|spirit|wine
MD 20/20(R) grape-flavored wine|spirit|wine
Merlot red wine|spirit|wine
Muscatel wine|spirit|wine
Petit Syrah(R) wine|spirit|wine
pineapple wine|spirit|wine
Pineau des Charentes(R) red wine|spirit|wine
Pineau des Charentes(R) white wine|spirit|wine
Pinot Grigio|spirit|wine
Pinot Grigio white wine|spirit|wine
Pinot Gris|spirit|wine
Pinot Noir|spirit|wine
plum wine|spirit|wine
Plums|spirit|wine
Prosecco(R) sparkling wine|spirit|wine
red Bordeaux wine|spirit|wine
red Greek wine|spirit|wine
red sparkling wine|spirit|wine
Red wine|spirit|wine
Reisling|spirit|wine
Reunite Lambrusco|spirit|wine
Rhone Blend|spirit|wine
rice wine|spirit|wine
Rose wine|spirit|wine
sake rice wine|spirit|wine
Sansachun(R) Korean wine|spirit|wine
Sauternes white wine|spirit|wine
sparkling Burgundy wine|spirit|wine
Sparkling white wine|spirit|wine
St. Raphael(R) Aperitif de France wine|spirit|wine
Stone's(R) ginger wine|spirit|wine
strawberry wine|spirit|wine
Thunderbird(R) wine|spirit|wine
White wine|spirit|wine
Wild Irish Rose(R) wine|spirit|wine
Wine|spirit|wine
wine cooler|spirit|wine
Zinfandel(R) white wine|spirit|wine
American whiskey|spirit|whiskey
Anchor Old Portero|spirit|whiskey
Ardbeg 10y|spirit|whiskey
Auchentoshan 3 Wood|spirit|whiskey
Bailey's|spirit|whiskey
Ballantine's(R) Scotch whisky|spirit|whiskey
Balvenie 12 yr|spirit|whiskey
Basil Hayden's|mixer|whiskey
Basil Hayden's(R) bourbon whiskey|spirit|whiskey
Black Velvet(R) Canadian whisky|spirit|whiskey
Blanton's|spirit|whiskey
Blanton's(R) bourbon whiskey|spirit|whiskey
blended bourbon whiskey|spirit|whiskey
Blended whiskey|spirit|whiskey
bonded bourbon whiskey|spirit|whiskey
Booker's|spirit|whiskey
bourbon whiskey|spirit|whiskey
Buffalo Trace|spirit|whiskey
Bulleit Bourbon|spirit|whiskey
Bulleit Rye|spirit|whiskey
Bushmills|spirit|whiskey
Bushmills(R) Irish Cream|spirit|whiskey
Bushmills(R) Irish whiskey|spirit|whiskey
Canadian Club(R) whisky|spirit|whiskey
Canadian Mist(R) whisky|spirit|whiskey
Canadian whisky|spirit|whiskey
Celtic Heartland, Invergordon 1965|spirit|whiskey
cherry whiskey|spirit|whiskey
Chivas Regal 12y|spirit|whiskey
Chivas Regal(R) Scotch whisky|spirit|whiskey
Clan Macgregor(R) Scotch whisky|spirit|whiskey
Crown Royal|spirit|whiskey
Crown Royal(R) Canadian whisky|spirit|whiskey
Crown Royal(R) Reserve Canadian whisky|spirit|whiskey
Cutty Black(R) Scotch whisky|spirit|whiskey
Cutty Sark(R) Scotch whisky|spirit|whiskey
Cyrus Noble|spirit|whiskey
Dalmore 12y|spirit|whiskey
Dalwhinnie|spirit|whiskey
Death's Door White|spirit|whiskey
Dewar's 12y|spirit|whiskey
Dewar's 18y|spirit|whiskey
Dewars White Label|spirit|whiskey
Dewar's(R) Scotch whisky|spirit|whiskey
Dr. McGillicuddy's(R) Fireball Canadian whisky|spirit|whiskey
Drambuie|spirit|whiskey
Drambuie(R) Scotch whisky|spirit|whiskey
Eagle Rare|spirit|whiskey
Early Times(R) bourbon whiskey|spirit|whiskey
Evan Williams(R) Bourbon Whiskey|spirit|whiskey
Famous Grouse|spirit|whiskey
Famous Grouse(R) Scotch whisky|spirit|whiskey
Forty Creek|spirit|whiskey
Forty Creek(R) Barrel Select Canadian whisky|spirit|whiskey
Four Rose Single Barrel|spirit|whiskey
Four Roses Bourbon|spirit|whiskey
Four Roses Small Batch|spirit|whiskey
Four Roses Yellow Label|spirit|whiskey
Four Roses(R) bourbon whiskey|spirit|whiskey
Gentleman Jack(R) bourbon whiskey|spirit|whiskey
Gentleman's Jack|spirit|whiskey
George Dickel|spirit|whiskey
George Dickel(R) Tennessee whiskey|spirit|whiskey
Georgia Moon(R) corn whiskey|spirit|whiskey
Gibson's(R) Finest Canadian whisky|spirit|whiskey
Glenfiddich 12y|spirit|whiskey
Glenfiddich 15y|spirit|whiskey
Glenfiddich 18y|spirit|whiskey
Glenfiddich(R) Scotch whisky|spirit|whiskey
Glenlivet|spirit|whiskey
Glenlivet 12y|spirit|whiskey
Glenlivet 15y|spirit|whiskey
Glenlivet 21y|spirit|whiskey
Glenlivet(R) Scotch whisky|spirit|whiskey
Glenmorangie 10y|spirit|whiskey
Glenmorangie 18y|spirit|whiskey
Glenmorangie Signet|spirit|whiskey
Glenrothes 1985|spirit|whiskey
Great King St.|spirit|whiskey
Heaven Hill(R) bourbon whiskey|spirit|whiskey
Henry McKenna(R) bourbon whiskey|spirit|whiskey
High West Double Rye|spirit|whiskey
Highland Park 12 yr|spirit|whiskey
Highland Park 18y|spirit|whiskey
House Whiskey|spirit|whiskey
Irish whiskey|spirit|whiskey
J & B(R) Scotch whisky|spirit|whiskey
J&B|spirit|whiskey
Jack Daniels|spirit|whiskey
Jack Daniels Single Barrel|spirit|whiskey
Jack Daniel's(R) Old No.7 Tennessee whiskey|spirit|whiskey
Jack Daniel's(R) Tennessee whiskey|spirit|whiskey
Jameson|spirit|whiskey
Jameson Rare Reserve|spirit|whiskey
Jameson(R) Irish whiskey|spirit|whiskey
Jeremiah Weed(R) bourbon whiskey|spirit|whiskey
Jim Beam|spirit|whiskey
Jim Beam Black Label bourbon whiskey|spirit|whiskey
Jim Beam Rye|spirit|whiskey
Jim Beam(R) bourbon whiskey|spirit|whiskey
Jim Beam(R) rye whiskey|spirit|whiskey
Jim Beam's(R) Choice bourbon whiskey|spirit|whiskey
Johnnie Walker|spirit|whiskey
Johnnie Walker Black Label|spirit|whiskey
Johnnie Walker Blue Label|spirit|whiskey
Johnnie Walker Gold Label|spirit|whiskey
Johnnie Walker Green Label|spirit|whiskey
Johnnie Walker Red Label|spirit|whiskey
Johnnie Walker(R) Black Label Scotch whisky|spirit|whiskey
Johnnie Walker(R) Red Label Scotch whisky|spirit|whiskey
Johnnie Walker(R) Scotch whisky|spirit|whiskey
Kentucky Gentleman(R) bourbon whiskey|spirit|whiskey
Kentucky Tavern(R) bourbon whiskey|spirit|whiskey
Kentucky Vintage 17yr|spirit|whiskey
Knob Creek|spirit|whiskey
Knob Creek Rye|spirit|whiskey
Knob Creek(R) bourbon whiskey|spirit|whiskey
Lagavulin 16y|spirit|whiskey
Laphroaig 10 yr|spirit|whiskey
Laphroaig 18 year|spirit|whiskey
Laphroaig Qtr Cask|spirit|whiskey
Leopold Bros Blackberry|spirit|whiskey
Leopold Bros Peach|spirit|whiskey
Lismore(R) scotch whisky|spirit|whiskey
Lord Calvert(R) Canadian whisky|spirit|whiskey
Macallan 10y|spirit|whiskey
Macallan 12y|spirit|whiskey
Macallan 18y|spirit|whiskey
Macallan 25y|spirit|whiskey
Makers Mark|spirit|whiskey
Maker's Mark(R) bourbon whiskey|spirit|whiskey
Michter's Straight Rye|spirit|whiskey
moonshine whiskey|spirit|whiskey
Oban|spirit|whiskey
Oban 14y|spirit|whiskey
Old Charter(R) bourbon whiskey|spirit|whiskey
Old Crow(R) bourbon whiskey|spirit|whiskey
Old Fitzgerald(R) bourbon whiskey|spirit|whiskey
Old Grandad(R) bourbon whiskey|spirit|whiskey
Old Overholt Rye|spirit|whiskey
Old Overholt(R) rye whiskey|spirit|whiskey
Old Potrero|spirit|whiskey
Old Potrero(R) rye whiskey|spirit|whiskey
Phillips Union(R) blended whiskey|spirit|whiskey
Powers(R) Irish whiskey|spirit|whiskey
Rebel Yell(R) bourbon whiskey|spirit|whiskey
Redbreast 15 yr|spirit|whiskey
Redemption Rye|spirit|whiskey
Remy Martin|spirit|whiskey
Ri1 Rye|spirit|whiskey
Rowans Creek|spirit|whiskey
Rye whiskey|spirit|whiskey
Sazerac(R) rye bourbon whiskey|spirit|whiskey
