Name|d_cat|d_alcohol|d_glass|d_ingredients|d_instructions|d_shopping|Price|Availability
John Collins|Ordinary Drink|Alcoholic|Collins glass|2 oz Bourbon, 1 oz Lemon juice, 1 tsp superfine Sugar, 3 oz Club soda, 1 Maraschino cherry, 1 Orange slice|In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.|Bourbon, Lemon juice, Sugar, Club soda, Maraschino cherry, Orange|38|Yes
Long Island Tea|Ordinary Drink|Alcoholic|Highball glass|1/2 oz Vodka, 1/2 oz Light rum, 1/2 oz Gin, 1/2 oz Tequila, Juice of 1/2 Lemon, 1 splash Coca-Cola|Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.|Vodka, Light rum, Gin, Tequila, Lemon, Coca-Cola|39|Yes
Mai Tai|Ordinary Drink|Alcoholic|Collins glass|1 oz Light rum, 1/2 oz Orgeat syrup, 1/2 oz Triple sec, 1 1/2 oz Sweet and sour, 1 Cherry|Shake all ingredients (except cherry) with ice and strain into a collins glass over several ice cubes. Top with the cherry and serve.|Light rum, Orgeat syrup, Triple sec, Sweet and sour, Cherry|40|Yes
Mimosa|Ordinary Drink|Alcoholic|Collins glass|Chilled Champagne, 2 oz Orange juice|Pour orange juice into a collins glass over two ice cubes. Fill with chilled champagne, stir very gently, and serve.|Champagne, Orange juice|41|Yes
Mint Julep|Cocktail|Alcoholic|Collins Glass|4 fresh mint, 2 1/2 oz bourbon whiskey, 1 tsp powdered sugar, 2 tsp water|Muddle mint leaves, powdered sugar, and water in a collins glass. Fill the glass with shaved or crushed ice and add bourbon. Top with more ice and garnish with a mint sprig. Serve with a straw.|mint, bourbon whiskey, powdered sugar, water|42|Yes
Mojito|Cocktail|Alcoholic|Highball glass|2-3 oz Light rum, Juice of 1 Lime (1 oz), 2 tsp Sugar, 2-4 Mint sprigs, Soda water|Lightly muddle the mint and sugar with a splash of soda water in a mixing glass until the sugar dissolve and you smell the mint. Squeeze the lime into the glass, add rum and shake with ice. Strain over cracked ice in a highball glass. Top with soda water, garnish with mint sprig and serve.|Light rum, Lime, Sugar, Mint, Soda water|43|Yes
Moscow Mule|Punch / Party Drink|Alcoholic|Highball glass|2 oz Vodka, 2 oz Lime juice, 8 oz Ginger ale|Mix all ingredients in a highball glass with ice and enjoy.|Vodka, Lime juice, Ginger ale|44|Yes
Negroni|Ordinary Drink|Alcoholic|Old-fashioned glass|1 oz Gin, 1 oz Campari, 1 oz Sweet Vermouth|Stir over ice and pour into a rocks glass. Garnish with a lemon zest.|Gin, Campari, Sweet Vermouth|45|Yes
Old Fashioned|Cocktail|Alcoholic|Old-Fashioned Glass|2 oz bourbon whiskey, 2 dashes Angostura(R) bitters, 1 splash water, 1 tsp sugar, 1  maraschino cherry, 1  orange|Mix sugar, water and angostura bitters in an old-fashioned glass. Drop in a cherry and an orange wedge. Muddle into a paste using a muddler or the back end of a spoon. Pour in bourbon, fill with ice cubes, and stir.|bourbon whiskey, Angostura(R) bitters, water, sugar, maraschino cherry, orange|46|Yes
Orange Blossom|Ordinary Drink|Alcoholic|Cocktail glass|2 oz Gin, 1 oz Orange juice, 1 tsp superfine Sugar, 1 Orange slice|In a shaker half-filled with ice cubes, combine the gin, orange juice, and sugar. Shake wel. Strain into a cocktail glass. Garnish with the orange slice.|Gin, Orange juice, Sugar, Orange|47|Yes
Panama|Cocktail|Alcoholic|Cocktail Glass|1 1/2 oz 151 proof rum, 1/2 oz dark creme de cacao, 1/2 oz cream|Shake ingredients well and serve over ice.|151 proof rum, dark creme de cacao, cream|48|Yes
Patty Hearst|Cocktail|Alcoholic|||||49|Yes
Pimm's Cup|Ordinary Drink|Alcoholic|Highball glass|1 shot Pimm's No. 1, Fill with 7-Up, 1 slice Cucumber, Twist of Lemon peel|In a highball glass add Pimm's No. 1 and twist of lemon. Fill with 7-up. Garnish with cucumber slice.|Pimm's No. 1, 7-Up, Cucumber, Lemon peel|50|Yes
